 3.20000000 -57.5000000 Ret  Hor
 3.50000000 -57.5000000 Ret  Hor
 3.50000000 -53.1666666 Ret  Hor
 3.83333333 -53.1666666 Ret  Hor
 4.00000000 -53.1666666 Ret  Dor
 4.00000000 -56.5000000 Ret  Dor
 4.33333333 -56.5000000 Ret  Dor
 4.33333333 -59.0000000 Ret  Dor
 4.58333333 -59.0000000 Ret  Dor
 4.58333333 -67.5000000 Ret  Dor
 3.20000000 -67.5000000 Ret  Hyi
18.86666666 +18.5000000 Sge
18.86666666 +21.0833333 Sge  Her
19.25000000 +21.0833333 Sge  Vul
19.25000000 +19.1666666 Sge  Vul
19.83333333 +19.1666666 Sge  Vul
19.83333333 +21.2500000 Sge  Vul
20.25000000 +21.2500000 Sge  Vul
20.25000000 +20.5000000 Sge  Vul
20.25000000 +15.7500000 Sge  Del
20.14166666 +15.7500000 Sge  Del
19.83333333 +15.7500000 Sge  Aql
19.83333333 +16.1666666 Sge  Aql
19.00000000 +16.1666666 Sge  Aql
19.00000000 +18.5000000 Sge  Aql
18.86666666 +18.5000000 Sge  Aql
18.86666666 -12.0333333 Sgr
20.00000000 -12.0333333 Sgr  Aql
20.00000000 -28.0000000 Sgr  Cap
20.33333333 -28.0000000 Sgr  Cap
20.33333333 -45.5000000 Sgr  Mic
19.16666666 -45.5000000 Sgr  Tel
19.16666666 -37.0000000 Sgr  CrA
17.83333333 -37.0000000 Sgr  CrA
17.83333333 -30.0000000 Sgr  Sco
17.60000000 -30.0000000 Sgr  Sco
17.60000000 -16.0000000 Sgr  Oph
18.25000000 -16.0000000 Sgr  Ser2
18.86666666 -16.0000000 Sgr  Sct
18.86666666 -12.0333333 Sgr  Sct
15.91666666 -08.0000000 Sco
16.26666666 -08.0000000 Sco  Oph
16.26666666 -18.2500000 Sco  Oph
16.37500000 -18.2500000 Sco  Oph
16.37500000 -19.2500000 Sco  Oph
16.26666666 -19.2500000 Sco  Oph
16.26666666 -24.5833333 Sco  Oph
16.75000000 -24.5833333 Sco  Oph
16.75000000 -30.0000000 Sco  Oph
17.60000000 -30.0000000 Sco  Oph
17.83333333 -30.0000000 Sco  Sgr
17.83333333 -37.0000000 Sco  Sgr
17.83333333 -45.5000000 Sco  CrA
16.42083333 -45.5000000 Sco  Ara
16.42083333 -42.0000000 Sco  Nor
16.00000000 -42.0000000 Sco  Nor
16.00000000 -29.5000000 Sco  Lup
15.66666666 -29.5000000 Sco  Lup
15.66666666 -20.0000000 Sco  Lib
15.91666666 -20.0000000 Sco  Lib
15.91666666 -08.0000000 Sco  Lib
23.00000000 -25.5000000 Scl
23.83333333 -25.5000000 Scl  Aqr
 1.66666666 -25.5000000 Scl  Cet
 1.66666666 -40.0000000 Scl  For
23.33333333 -40.0000000 Scl  Phe
23.33333333 -37.0000000 Scl  Gru
23.00000000 -37.0000000 Scl  Gru
23.00000000 -25.5000000 Scl  PsA
18.25000000 -16.0000000 Sct
18.25000000 -04.0000000 Sct  Ser2
18.58333333 -04.0000000 Sct  Ser2
18.86666666 -04.0000000 Sct  Aql
18.86666666 -12.0333333 Sct  Aql
18.86666666 -16.0000000 Sct  Sgr
18.25000000 -16.0000000 Sct  Sgr
15.08333333 -00.0000000 Ser1
15.08333333 +08.0000000 Ser1 Vir
15.08333333 +26.0000000 Ser1 Boo
15.18333333 +26.0000000 Ser1 Boo
16.03333333 +26.0000000 Ser1 CrB
16.03333333 +22.0000000 Ser1 Her
15.91666666 +22.0000000 Ser1 Her
15.91666666 +16.0000000 Ser1 Her
16.08333333 +16.0000000 Ser1 Her
16.08333333 +04.0000000 Ser1 Her
16.26666666 +04.0000000 Ser1 Her
16.26666666 -00.0000000 Ser1 Oph
16.26666666 -03.2500000 Ser1 Oph
15.91666666 -03.2500000 Ser1 Oph
15.08333333 -03.2500000 Ser1 Lib
15.08333333 -00.0000000 Ser1 Lib
18.25000000 -00.0000000 Ser2
18.25000000 +03.0000000 Ser2 Oph
18.42500000 +03.0000000 Ser2 Oph
18.42500000 +04.5000000 Ser2 Oph
18.25000000 +04.5000000 Ser2 Oph
18.25000000 +06.2500000 Ser2 Oph
18.66222222 +06.2500000 Ser2 Oph
18.86666666 +06.2500000 Ser2 Aql
18.86666666 +02.0000000 Ser2 Aql
18.58333333 +02.0000000 Ser2 Aql
18.58333333 -00.0000000 Ser2 Aql
18.58333333 -04.0000000 Ser2 Aql
18.25000000 -04.0000000 Ser2 Sct
18.25000000 -16.0000000 Ser2 Sct
17.60000000 -16.0000000 Ser2 Sgr
17.16666666 -16.0000000 Ser2 Oph
17.16666666 -10.0000000 Ser2 Oph
17.58333333 -10.0000000 Ser2 Oph
17.58333333 -11.6666666 Ser2 Oph
17.66666666 -11.6666666 Ser2 Oph
17.66666666 -10.0000000 Ser2 Oph
17.96666666 -10.0000000 Ser2 Oph
17.96666666 -04.0000000 Ser2 Oph
17.83333333 -04.0000000 Ser2 Oph
17.83333333 -00.0000000 Ser2 Oph
18.25000000 -00.0000000 Ser2 Oph
 9.58333333 -00.0000000 Sex
 9.58333333 +07.0000000 Sex  Hya
10.75000000 +07.0000000 Sex  Leo
10.75000000 -00.0000000 Sex  Leo
10.75000000 -06.0000000 Sex  Leo
10.75000000 -11.0000000 Sex  Crt
 9.58333333 -11.0000000 Sex  Hya
 9.58333333 -00.0000000 Sex  Hya
 3.28333333 -01.7500000 Tau
 3.28333333 -00.0000000 Tau  Cet
 3.28333333 +09.9166666 Tau  Cet
 3.28333333 +19.0000000 Tau  Ari
 3.36666666 +19.0000000 Tau  Ari
 3.36666666 +30.6666666 Tau  Ari
 4.50000000 +30.6666666 Tau  Per
 4.50000000 +30.0000000 Tau  Aur
 4.75000000 +30.0000000 Tau  Aur
 4.75000000 +28.5000000 Tau  Aur
 5.88333333 +28.5000000 Tau  Aur
 5.88333333 +28.0000000 Tau  Aur
 5.88333333 +22.8333333 Tau  Gem
 5.70000000 +22.8333333 Tau  Ori
 5.70000000 +18.0000000 Tau  Ori
 5.76666666 +18.0000000 Tau  Ori
 5.76666666 +12.5000000 Tau  Ori
 5.60000000 +12.5000000 Tau  Ori
 5.60000000 +15.5000000 Tau  Ori
 5.33333333 +15.5000000 Tau  Ori
 5.33333333 +16.0000000 Tau  Ori
 4.96666666 +16.0000000 Tau  Ori
 4.96666666 +15.5000000 Tau  Ori
 4.61666666 +15.5000000 Tau  Ori
 4.61666666 -00.0000000 Tau  Ori
 3.58333333 -00.0000000 Tau  Eri
 3.58333333 -01.7500000 Tau  Eri
 3.28333333 -01.7500000 Tau  Eri
20.33333333 -57.0000000 Tel
18.00000000 -57.0000000 Tel  Pav
18.00000000 -45.5000000 Tel  Ara
19.16666666 -45.5000000 Tel  CrA
20.33333333 -45.5000000 Tel  Sgr
20.33333333 -57.0000000 Tel  Ind
 1.66666666 +25.0000000 Tri
 1.66666666 +28.0000000 Tri  Psc
 1.40833333 +28.0000000 Tri  Psc
 1.40833333 +33.0000000 Tri  Psc
 1.40833333 +35.0000000 Tri  And
 2.00000000 +35.0000000 Tri  And
 2.00000000 +36.7500000 Tri  And
 2.51666666 +36.7500000 Tri  And
 2.56666666 +36.7500000 Tri  Per
 2.56666666 +34.0000000 Tri  Per
 2.71666666 +34.0000000 Tri  Per
 2.71666666 +30.6666666 Tri  Per
 2.41666666 +30.6666666 Tri  Ari
 2.41666666 +27.2500000 Tri  Ari
 1.91666666 +27.2500000 Tri  Ari
 1.91666666 +25.0000000 Tri  Ari
 1.66666666 +25.0000000 Tri  Ari
14.75000000 -70.0000000 TrA
14.75000000 -67.5000000 TrA  Cir
14.91666666 -67.5000000 TrA  Cir
14.91666666 -63.5833333 TrA  Cir
15.16666666 -63.5833333 TrA  Cir
15.16666666 -61.0000000 TrA  Cir
15.33333333 -61.0000000 TrA  Cir
15.33333333 -60.0000000 TrA  Cir
16.42083333 -60.0000000 TrA  Nor
16.42083333 -61.0000000 TrA  Ara
16.58333333 -61.0000000 TrA  Ara
16.58333333 -63.5833333 TrA  Ara
16.75000000 -63.5833333 TrA  Ara
16.75000000 -65.0000000 TrA  Ara
16.83333333 -65.0000000 TrA  Ara
16.83333333 -67.5000000 TrA  Ara
17.00000000 -67.5000000 TrA  Ara
17.00000000 -70.0000000 TrA  Aps
14.75000000 -70.0000000 TrA  Aps
23.33333333 -75.0000000 Tuc
23.33333333 -67.5000000 Tuc  Ind
22.00000000 -67.5000000 Tuc  Ind
22.00000000 -57.0000000 Tuc  Ind
23.33333333 -57.0000000 Tuc  Gru
23.33333333 -58.5000000 Tuc  Phe
 1.33333333 -58.5000000 Tuc  Phe
 1.33333333 -76.0000000 Tuc  Hyi
 0.75000000 -76.0000000 Tuc  Hyi
 0.75000000 -75.0000000 Tuc  Hyi
 0.00000000 -75.0000000 Tuc  Hyi
23.33333333 -75.0000000 Tuc  Oct
 9.58333333 +42.0000000 UMa
 9.16666666 +42.0000000 UMa  Lyn
 9.16666666 +47.0000000 UMa  Lyn
 8.41666666 +47.0000000 UMa  Lyn
 8.41666666 +60.0000000 UMa  Lyn
 7.96666666 +60.0000000 UMa  Lyn
 7.96666666 +73.5000000 UMa  Cam
 9.16666666 +73.5000000 UMa  Cam
11.33333333 +73.5000000 UMa  Dra
11.33333333 +66.5000000 UMa  Dra
12.00000000 +66.5000000 UMa  Dra
12.00000000 +64.0000000 UMa  Dra
13.50000000 +64.0000000 UMa  Dra
13.50000000 +63.0000000 UMa  Dra
14.41666666 +63.0000000 UMa  Dra
14.41666666 +55.5000000 UMa  Dra
14.03333333 +55.5000000 UMa  Boo
14.03333333 +48.5000000 UMa  Boo
13.50000000 +48.5000000 UMa  CVn
13.50000000 +53.0000000 UMa  CVn
12.08333333 +53.0000000 UMa  CVn
12.08333333 +45.0000000 UMa  CVn
12.00000000 +45.0000000 UMa  CVn
12.00000000 +34.0000000 UMa  CVn
12.00000000 +29.0000000 UMa  Com
11.86666666 +29.0000000 UMa  Com
11.00000000 +29.0000000 UMa  Leo
11.00000000 +34.0000000 UMa  LMi
10.78333333 +34.0000000 UMa  LMi
10.78333333 +40.0000000 UMa  LMi
10.16666666 +40.0000000 UMa  LMi
10.16666666 +42.0000000 UMa  LMi
 9.58333333 +42.0000000 UMa  LMi
13.00000000 +77.0000000 UMi
13.58333333 +77.0000000 UMi  Cam
13.58333333 +80.0000000 UMi  Cam
14.50000000 +80.0000000 UMi  Cam
14.50000000 +86.5000000 UMi  Cam
 8.00000000 +86.5000000 UMi  Cam
 8.00000000 +88.0000000 UMi  Cep
23.00000000 +88.0000000 UMi  Cep
23.00000000 +86.1666666 UMi  Cep
21.00000000 +86.1666666 UMi  Cep
21.00000000 +86.0000000 UMi  Cep
18.00000000 +86.0000000 UMi  Dra
18.00000000 +80.0000000 UMi  Dra
17.50000000 +80.0000000 UMi  Dra
17.50000000 +75.0000000 UMi  Dra
16.53333333 +75.0000000 UMi  Dra
16.53333333 +70.0000000 UMi  Dra
15.66666666 +70.0000000 UMi  Dra
15.66666666 +66.0000000 UMi  Dra
14.00000000 +66.0000000 UMi  Dra
14.00000000 +70.0000000 UMi  Dra
13.00000000 +70.0000000 UMi  Dra
13.00000000 +77.0000000 UMi  Dra
11.00000000 -56.5000000 Vel
 8.83333333 -56.5000000 Vel  Car
 8.83333333 -54.5000000 Vel  Car
 8.45000000 -54.5000000 Vel  Car
 8.45000000 -53.0000000 Vel  Car
 8.16666666 -53.0000000 Vel  Car
 8.16666666 -50.7500000 Vel  Car
 8.00000000 -50.7500000 Vel  Car
 8.00000000 -43.0000000 Vel  Pup
 8.36666666 -43.0000000 Vel  Pup
 8.36666666 -36.7500000 Vel  Pup
 9.36666666 -36.7500000 Vel  Pyx
 9.36666666 -39.7500000 Vel  Ant
11.00000000 -39.7500000 Vel  Ant
11.00000000 -56.5000000 Vel  Cen
11.51666666 -00.0000000 Vir
11.51666666 +11.0000000 Vir  Leo
11.86666666 +11.0000000 Vir  Leo
11.86666666 +14.0000000 Vir  Leo
12.83333333 +14.0000000 Vir  Com
12.83333333 +15.0000000 Vir  Com
13.50000000 +15.0000000 Vir  Com
13.50000000 +08.0000000 Vir  Boo
15.08333333 +08.0000000 Vir  Boo
15.08333333 -00.0000000 Vir  Ser1
14.66666666 -00.0000000 Vir  Lib
14.66666666 -08.0000000 Vir  Lib
14.25000000 -08.0000000 Vir  Lib
14.25000000 -22.0000000 Vir  Lib
12.83333333 -22.0000000 Vir  Hya
12.83333333 -11.0000000 Vir  Crv
11.83333333 -11.0000000 Vir  Crv
11.83333333 -06.0000000 Vir  Crt
11.51666666 -06.0000000 Vir  Crt
11.51666666 -00.0000000 Vir  Leo
 6.58333333 -64.0000000 Vol
 6.83333333 -64.0000000 Vol  Pic
 9.03333333 -64.0000000 Vol  Car
 9.03333333 -75.0000000 Vol  Car
 7.66666666 -75.0000000 Vol  Cha
 6.58333333 -75.0000000 Vol  Men
 6.58333333 -70.0000000 Vol  Men
 6.58333333 -64.0000000 Vol  Dor
18.86666666 +21.0833333 Vul
18.86666666 +25.5000000 Vul  Her
19.25833333 +25.5000000 Vul  Lyr
19.25833333 +27.5000000 Vul  Lyr
19.66666666 +27.5000000 Vul  Cyg
19.66666666 +29.0000000 Vul  Cyg
20.91666666 +29.0000000 Vul  Cyg
20.91666666 +28.0000000 Vul  Cyg
21.41666666 +28.0000000 Vul  Cyg
21.41666666 +23.5000000 Vul  Peg
21.25000000 +23.5000000 Vul  Peg
21.25000000 +19.5000000 Vul  Peg
21.05000000 +19.5000000 Vul  Peg
20.56666666 +19.5000000 Vul  Del
20.56666666 +20.5000000 Vul  Del
20.25000000 +20.5000000 Vul  Del
20.25000000 +21.2500000 Vul  Sge
19.83333333 +21.2500000 Vul  Sge
19.83333333 +19.1666666 Vul  Sge
19.25000000 +19.1666666 Vul  Sge
19.25000000 +21.0833333 Vul  Sge
18.86666666 +21.0833333 Vul  Sge
